Position,Team,Played,Won,Drew,Lost,For,Against,Goal Difference,Points
1,LIV,12,11,1,0,28,10,18,34
2,LEI,12,8,2,2,29,8,21,26
3,CHE,12,8,2,2,27,17,10,26
4,MCI,12,8,1,3,35,13,22,25
5,SHU,12,4,5,3,13,9,4,17
6,ARS,12,4,5,3,16,17,-1,17
7,MUN,12,4,4,4,16,12,4,16
8,WOL,12,3,7,2,16,15,1,16
9,BOU,12,4,4,4,15,15,0,16
10,BUR,12,4,3,5,17,18,-1,15
11,BRI,12,4,3,5,15,17,-2,15
12,CRY,12,4,3,5,10,16,-6,15
13,NEW,12,4,3,5,11,18,-7,15
14,TOT,12,3,5,4,18,17,1,14
15,EVE,12,4,2,6,13,18,-5,14
16,WHU,12,3,4,5,14,20,-6,13
17,AVL,12,3,2,7,17,20,-3,11
18,WAT,12,1,5,6,8,23,-15,8
19,SOU,12,2,2,8,11,29,-18,8
20,NOR,12,2,1,9,11,28,-17,7
